1,2,3,4,5,6,7,8,9
sausage,pip fruit,whipped/sour cream,detergent,dental care,,,,
processed cheese,red/blush wine,newspapers,,,,,,
napkins,,,,,,,,
meat,whole milk,whipped/sour cream,oil,pickled vegetables,long life bakery product,napkins,,
pastry,,,,,,,,
sausage,root vegetables,other vegetables,whole milk,dessert,canned fruit,soda,snack products,waffles
pip fruit,root vegetables,whole milk,ice cream,bottled beer,detergent,,,
frozen vegetables,,,,,,,,
citrus fruit,tropical fruit,coffee,,,,,,
other vegetables,yogurt,whipped/sour cream,soda,bottled beer,salty snack,,,
frankfurter,frozen dessert,white wine,chewing gum,shopping bags,,,,
sausage,,,,,,,,
beef,other vegetables,yogurt,beverages,rolls/buns,flour,margarine,cat food,bottled water
hamburger meat,other vegetables,whipped/sour cream,pastry,napkins,,,,
yogurt,margarine,sugar,bottled water,bottled beer,red/blush wine,long life bakery product,,
beverages,,,,,,,,
whole milk,,,,,,,,
rolls/buns,,,,,,,,
tropical fruit,bottled water,chewing gum,,,,,,
citrus fruit,herbs,butter,domestic eggs,oil,bottled water,bottled beer,,
whole milk,yogurt,whipped/sour cream,soft cheese,candy,,,,
citrus fruit,tropical fruit,root vegetables,yogurt,roll products ,margarine,sugar,bottled water,napkins
soda,,,,,,,,
frankfurter,yogurt,beverages,brown bread,specialty chocolate,candy,,,
sausage,cream,cream cheese ,canned beer,,,,,
napkins,,,,,,,,
yogurt,,,,,,,,
herbs,oil,dog food,,,,,,
sausage,fish,UHT-milk,,,,,,
yogurt,chocolate,,,,,,,
pork,other vegetables,specialty fat,,,,,,
curd,mustard,canned beer,,,,,,
frankfurter,sausage,berries,whole milk,yogurt,brown bread,pastry,margarine,fruit/vegetable juice
frankfurter,frozen meals,semi-finished bread,shopping bags,,,,,
curd,processed cheese,rolls/buns,pastry,pickled vegetables,fruit/vegetable juice,,,
liver loaf,organic sausage,pastry,fruit/vegetable juice,candles,,,,
pork,canned fish,cat food,,,,,,
specialty bar,,,,,,,,
ice cream,,,,,,,,
specialty bar,,,,,,,,
yogurt,shopping bags,,,,,,,
frozen vegetables,coffee,,,,,,,
rolls/buns,canned beer,shopping bags,,,,,,
pastry,soda,,,,,,,
pork,beef,citrus fruit,root vegetables,other vegetables,whole milk,rolls/buns,flour,pasta
curd,bottled water,photo/film,,,,,,
beef,citrus fruit,root vegetables,butter,yogurt,whipped/sour cream,frozen meals,pasta,oil
yogurt,bottled water,male cosmetics,,,,,,
chicken,other vegetables,whole milk,curd,ice cream,rolls/buns,sugar,soda,napkins
detergent,,,,,,,,
pip fruit,sweet spreads,coffee,napkins,dishes,,,,
coffee,chocolate,,,,,,,
tropical fruit,berries,yogurt,soda,red/blush wine,,,,
sauces,softener,,,,,,,
pork,onions,other vegetables,bottled beer,,,,,
yogurt,condensed milk,rolls/buns,pickled vegetables,bottled water,brandy,,,
napkins,dishes,,,,,,,
other vegetables,rolls/buns,canned fish,,,,,,
chicken,citrus fruit,onions,bottled water,,,,,
pork,onions,rolls/buns,margarine,canned vegetables,soda,salty snack,house keeping products,
root vegetables,,,,,,,,
ham,tropical fruit,pip fruit,other vegetables,whole milk,processed cheese,frozen vegetables,brown bread,soda
whole milk,rolls/buns,,,,,,,
soda,bottled beer,house keeping products,,,,,,
rolls/buns,margarine,,,,,,,
tropical fruit,soft cheese,rolls/buns,chocolate,,,,,
tropical fruit,pip fruit,brown bread,,,,,,
sausage,hamburger meat,tropical fruit,root vegetables,whole milk,UHT-milk,domestic eggs,rolls/buns,semi-finished bread
bottled beer,,,,,,,,
turkey,tropical fruit,yogurt,UHT-milk,brown bread,pastry,,,
meat,rolls/buns,specialty chocolate,,,,,,
whole milk,coffee,female sanitary products,shopping bags,,,,,
soda,canned beer,,,,,,,
rolls/buns,canned beer,,,,,,,
dessert,UHT-milk,rolls/buns,pastry,canned beer,,,,
sausage,other vegetables,sliced cheese,mustard,fruit/vegetable juice,,,,
pork,onions,other vegetables,butter milk,,,,,
hamburger meat,other vegetables,hard cheese,frozen vegetables,,,,,
sausage,beverages,sliced cheese,rolls/buns,specialty bar,shopping bags,,,
rolls/buns,soda,canned beer,waffles,shopping bags,,,,
misc. beverages,chocolate,,,,,,,
pastry,long life bakery product,,,,,,,
soda,fruit/vegetable juice,,,,,,,
whole milk,,,,,,,,
domestic eggs,long life bakery product,seasonal products,,,,,,
soda,,,,,,,,
pip fruit,,,,,,,,
yogurt,UHT-milk,domestic eggs,rolls/buns,,,,,
frankfurter,pork,pip fruit,,,,,,
specialty chocolate,,,,,,,,
sausage,white bread,bottled beer,,,,,,
oil,,,,,,,,
tropical fruit,pip fruit,soda,bottled beer,popcorn,,,,
citrus fruit,other vegetables,whole milk,,,,,,
napkins,,,,,,,,
whole milk,rolls/buns,,,,,,,
coffee,,,,,,,,
tropical fruit,newspapers,,,,,,,
canned beer,,,,,,,,
bottled beer,,,,,,,,
canned beer,,,,,,,,
rum,,,,,,,,
rolls/buns,margarine,newspapers,,,,,,
pastry,,,,,,,,
whole milk,dessert,,,,,,,
grapes,root vegetables,other vegetables,roll products ,pasta,oil,margarine,coffee,bottled water
whole milk,,,,,,,,
yogurt,rolls/buns,,,,,,,
root vegetables,other vegetables,whole milk,yogurt,rolls/buns,chewing gum,candles,,
pastry,,,,,,,,
canned beer,,,,,,,,
sausage,,,,,,,,
tropical fruit,other vegetables,yogurt,spread cheese,soda,,,,
frankfurter,citrus fruit,tropical fruit,whole milk,butter,whipped/sour cream,,,
rolls/buns,,,,,,,,
frankfurter,pip fruit,other vegetables,whole milk,,,,,
sausage,other vegetables,newspapers,shopping bags,,,,,
whole milk,rolls/buns,,,,,,,
whole milk,canned beer,,,,,,,
whole milk,frozen vegetables,,,,,,,
ham,pip fruit,herbs,other vegetables,butter,rolls/buns,white bread,oil,canned fish
whole milk,yogurt,white bread,newspapers,,,,,
beef,citrus fruit,pip fruit,yogurt,rolls/buns,flour,margarine,soups,bottled water
domestic eggs,rolls/buns,soda,,,,,,
soda,waffles,,,,,,,
whole milk,yogurt,beverages,mustard,bottled water,newspapers,,,
ham,pip fruit,whole milk,rolls/buns,honey,newspapers,,,
curd,yogurt,mayonnaise,brown bread,margarine,sugar,ketchup,dish cleaner,cling film/bags
bottled water,,,,,,,,
butter milk,coffee,,,,,,,
pork,other vegetables,,,,,,,
pork,onions,shopping bags,,,,,,
turkey,other vegetables,whole milk,oil,instant coffee,specialty bar,,,
cream cheese ,soda,,,,,,,
tropical fruit,berries,root vegetables,other vegetables,yogurt,rolls/buns,shopping bags,,
rolls/buns,,,,,,,,
citrus fruit,other vegetables,whole milk,margarine,bottled beer,newspapers,,,
frankfurter,sausage,root vegetables,yogurt,mayonnaise,rolls/buns,brown bread,roll products ,margarine
whipped/sour cream,,,,,,,,
tropical fruit,butter,butter milk,brown bread,long life bakery product,,,,
frankfurter,pip fruit,rolls/buns,bottled water,,,,,
sausage,tropical fruit,whole milk,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread,rice
sausage,citrus fruit,tropical fruit,whole milk,bottled water,specialty bar,detergent,newspapers,
sausage,rolls/buns,soda,specialty bar,,,,,
sliced cheese,rolls/buns,margarine,soda,shopping bags,,,,
candy,,,,,,,,
tropical fruit,berries,pickled vegetables,pet care,soda,,,,
pip fruit,whole milk,butter milk,cream cheese ,domestic eggs,rolls/buns,brown bread,,
citrus fruit,tropical fruit,grapes,dessert,cream cheese ,rolls/buns,bottled water,fruit/vegetable juice,
hamburger meat,pip fruit,other vegetables,butter,cream cheese ,mayonnaise,domestic eggs,pastry,rice
other vegetables,whole milk,curd,spread cheese,curd cheese,rolls/buns,brown bread,Instant food products,coffee
nuts/prunes,rolls/buns,soda,,,,,,
ham,beef,other vegetables,newspapers,,,,,
ham,rolls/buns,,,,,,,
butter,bottled beer,liquor,,,,,,
napkins,,,,,,,,
beef,root vegetables,margarine,bottled water,soda,,,,
frankfurter,hamburger meat,,,,,,,
meat,citrus fruit,other vegetables,canned beer,,,,,
whole milk,curd,mayonnaise,pastry,flour,canned fish,waffles,,
sausage,other vegetables,rolls/buns,soda,,,,,
sausage,other vegetables,,,,,,,
rolls/buns,soda,,,,,,,
root vegetables,white bread,sugar,liquor,,,,,
sausage,root vegetables,whole milk,butter,misc. beverages,,,,
sausage,root vegetables,other vegetables,whole milk,curd,yogurt,hard cheese,white bread,
meat,pork,onions,salad dressing,domestic eggs,white bread,flour,salt,bottled beer
sausage,whole milk,yogurt,pastry,pudding powder,bottled water,soda,bottled beer,canned beer
citrus fruit,,,,,,,,
chocolate,candy,,,,,,,
coffee,,,,,,,,
sausage,tropical fruit,pip fruit,other vegetables,whole milk,curd,dessert,yogurt,whipped/sour cream
beef,citrus fruit,tropical fruit,pip fruit,dessert,cream cheese ,rolls/buns,chocolate,
berries,other vegetables,butter milk,yogurt,sliced cheese,rolls/buns,soda,,
frozen meals,oil,bottled water,bottled beer,flower (seeds),,,,
beef,herbs,whole milk,,,,,,
sausage,meat,root vegetables,other vegetables,whole milk,butter milk,yogurt,pastry,waffles
rolls/buns,,,,,,,,
frankfurter,rolls/buns,fruit/vegetable juice,,,,,,
sausage,pork,whole milk,yogurt,rolls/buns,brown bread,napkins,shopping bags,
pip fruit,whole milk,whipped/sour cream,baking powder,,,,,
grapes,whole milk,baking powder,candles,photo/film,,,,
chocolate marshmallow,,,,,,,,
coffee,,,,,,,,
soda,white wine,,,,,,,
bottled beer,liquor,red/blush wine,,,,,,
butter,cleaner,,,,,,,
fruit/vegetable juice,nut snack,,,,,,,
meat,specialty bar,,,,,,,
pip fruit,butter,curd,chocolate,,,,,
other vegetables,domestic eggs,,,,,,,
frankfurter,white bread,pastry,dog food,soda,shopping bags,,,
long life bakery product,,,,,,,,
tropical fruit,whole milk,sliced cheese,mayonnaise,rolls/buns,mustard,,,
whole milk,white bread,salty snack,,,,,,
canned beer,,,,,,,,
canned beer,,,,,,,,
other vegetables,whipped/sour cream,pastry,red/blush wine,,,,,
soda,,,,,,,,
rolls/buns,soda,specialty bar,candy,newspapers,,,,
bags,,,,,,,,
rolls/buns,,,,,,,,
dessert,frozen dessert,,,,,,,
canned beer,,,,,,,,
butter,domestic eggs,pasta,fruit/vegetable juice,newspapers,,,,
whole milk,butter,yogurt,frozen vegetables,domestic eggs,sugar,,,
canned beer,,,,,,,,
coffee,,,,,,,,
chicken,hamburger meat,pip fruit,onions,other vegetables,whole milk,butter,yogurt,whipped/sour cream
soda,long life bakery product,,,,,,,
beef,other vegetables,domestic eggs,pastry,,,,,
spread cheese,pastry,,,,,,,
citrus fruit,tropical fruit,other vegetables,pot plants,,,,,
canned beer,,,,,,,,
rolls/buns,soda,,,,,,,
pip fruit,roll products ,pot plants,,,,,,
pip fruit,,,,,,,,
whole milk,baking powder,bottled water,soda,cooking chocolate,candles,,,
chocolate,,,,,,,,
sausage,whole milk,rolls/buns,canned beer,,,,,
pip fruit,whole milk,,,,,,,
other vegetables,rolls/buns,,,,,,,
dessert,sliced cheese,hard cheese,white bread,brown bread,,,,
frankfurter,,,,,,,,
citrus fruit,other vegetables,butter,candy,,,,,
citrus fruit,UHT-milk,napkins,,,,,,
pip fruit,curd,soda,bottled beer,softener,hygiene articles,,,
tropical fruit,root vegetables,whole milk,curd,yogurt,frozen vegetables,domestic eggs,,
frankfurter,other vegetables,whole milk,yogurt,condensed milk,cream cheese ,rolls/buns,pastry,
pip fruit,other vegetables,butter milk,frozen vegetables,brown bread,soups,sauces,fruit/vegetable juice,long life bakery product
canned beer,,,,,,,,
pork,citrus fruit,soda,canned beer,chocolate,hygiene articles,,,
rolls/buns,newspapers,,,,,,,
canned beer,,,,,,,,
citrus fruit,tropical fruit,pip fruit,other vegetables,,,,,
grapes,whole milk,white wine,dishes,newspapers,,,,
tropical fruit,,,,,,,,
frozen fish,hygiene articles,shopping bags,,,,,,
tropical fruit,pastry,soda,,,,,,
beverages,pastry,,,,,,,
sausage,pip fruit,whole milk,potato products,,,,,
whole milk,,,,,,,,
sausage,specialty cheese,misc. beverages,bottled beer,,,,,
pork,white bread,pastry,shopping bags,,,,,
whole milk,rolls/buns,newspapers,,,,,,
sausage,whole milk,dessert,spices,bottled beer,,,,
pastry,soda,,,,,,,
soda,,,,,,,,
tropical fruit,grapes,whole milk,canned fish,bottled water,fruit/vegetable juice,,,
whole milk,bottled water,napkins,,,,,,
canned beer,,,,,,,,
pip fruit,whole milk,,,,,,,
turkey,citrus fruit,tropical fruit,pip fruit,berries,root vegetables,herbs,whole milk,butter
yogurt,specialty chocolate,seasonal products,,,,,,
whipped/sour cream,baking powder,,,,,,,
finished products,tropical fruit,bottled water,popcorn,shopping bags,,,,
sausage,mayonnaise,misc. beverages,candy,,,,,
other vegetables,cream cheese ,rolls/buns,,,,,,
newspapers,,,,,,,,
white wine,,,,,,,,
sausage,meat,pip fruit,other vegetables,yogurt,rolls/buns,brown bread,bottled water,soda
misc. beverages,,,,,,,,
yogurt,UHT-milk,soda,red/blush wine,waffles,,,,
beef,frozen fish,rolls/buns,margarine,,,,,
other vegetables,,,,,,,,
photo/film,,,,,,,,
tropical fruit,,,,,,,,
sausage,meat,tropical fruit,soda,hygiene articles,,,,
frankfurter,citrus fruit,rolls/buns,flour,long life bakery product,,,,
tropical fruit,pip fruit,root vegetables,whole milk,yogurt,rolls/buns,sweet spreads,cat food,pet care
citrus fruit,UHT-milk,zwieback,bottled water,hygiene articles,,,,
pork,bottled water,bottled beer,,,,,,
soda,house keeping products,,,,,,,
whole milk,,,,,,,,
cookware,,,,,,,,
butter,rolls/buns,newspapers,,,,,,
frozen vegetables,sugar,coffee,,,,,,
chicken,dessert,yogurt,frozen vegetables,domestic eggs,salt,pasta,specialty fat,bottled water
frankfurter,root vegetables,whole milk,butter milk,whipped/sour cream,rolls/buns,pastry,vinegar,coffee
tropical fruit,yogurt,processed cheese,rolls/buns,bottled water,soda,misc. beverages,female sanitary products,
root vegetables,whole milk,domestic eggs,,,,,,
meat,citrus fruit,pip fruit,curd,yogurt,whipped/sour cream,domestic eggs,pastry,flour
hamburger meat,,,,,,,,
tropical fruit,napkins,,,,,,,
whole milk,,,,,,,,
whole milk,dessert,rolls/buns,pastry,newspapers,,,,
hamburger meat,citrus fruit,butter,frozen vegetables,pasta,sweet spreads,coffee,,
frankfurter,sausage,curd,whipped/sour cream,frozen vegetables,jam,long life bakery product,candy,
soda,canned beer,,,,,,,
whipped/sour cream,rice,popcorn,,,,,,
whole milk,butter,yogurt,frozen meals,bottled water,bottled beer,canned beer,chocolate,flower (seeds)
citrus fruit,root vegetables,other vegetables,salt,bottled water,chewing gum,,,
pip fruit,coffee,,,,,,,
root vegetables,butter milk,frozen vegetables,pastry,dish cleaner,hygiene articles,napkins,,
pip fruit,root vegetables,zwieback,fruit/vegetable juice,pot plants,,,,
onions,other vegetables,whole milk,soups,bottled beer,pot plants,,,
tropical fruit,grapes,oil,canned vegetables,tea,fruit/vegetable juice,snack products,,
other vegetables,brown bread,soda,canned beer,shopping bags,,,,
citrus fruit,rolls/buns,bottled water,red/blush wine,newspapers,,,,
canned beer,shopping bags,,,,,,,
root vegetables,other vegetables,whole milk,curd,cream cheese ,domestic eggs,misc. beverages,napkins,
tropical fruit,pip fruit,whole milk,curd,yogurt,frozen meals,,,
butter milk,,,,,,,,
root vegetables,,,,,,,,
pork,whole milk,margarine,,,,,,
pip fruit,yogurt,ice cream,soda,,,,,
canned beer,newspapers,,,,,,,
tropical fruit,whole milk,butter,brown bread,,,,,
pork,pip fruit,other vegetables,whole milk,yogurt,frozen fish,flour,sugar,baking powder
pip fruit,napkins,,,,,,,
rolls/buns,,,,,,,,
meat,organic sausage,whole milk,butter,UHT-milk,frozen vegetables,pickled vegetables,cat food,female sanitary products
soda,,,,,,,,
root vegetables,,,,,,,,
root vegetables,red/blush wine,,,,,,,
sausage,butter,pastry,canned beer,shopping bags,,,,
butter,white wine,,,,,,,
sauces,red/blush wine,dish cleaner,,,,,,
beef,citrus fruit,pip fruit,root vegetables,other vegetables,whipped/sour cream,margarine,canned vegetables,cat food
ham,pork,butter milk,sweet spreads,shopping bags,,,,
rolls/buns,fruit/vegetable juice,,,,,,,
tropical fruit,rolls/buns,,,,,,,
sausage,tropical fruit,whole milk,curd,butter milk,whipped/sour cream,rolls/buns,softener,house keeping products
tropical fruit,whole milk,cream cheese ,frozen vegetables,rolls/buns,chocolate,candy,pot plants,
soda,,,,,,,,
whole milk,pastry,,,,,,,
pip fruit,,,,,,,,
whole milk,,,,,,,,
chicken,beef,whole milk,bottled water,newspapers,,,,
root vegetables,other vegetables,whipped/sour cream,canned beer,liquor,shopping bags,,,
rolls/buns,meat spreads,,,,,,,
butter,whipped/sour cream,domestic eggs,rolls/buns,,,,,
tropical fruit,sliced cheese,rolls/buns,napkins,pot plants,,,,
sausage,chicken,beef,root vegetables,other vegetables,curd,yogurt,cream cheese ,ice cream
soda,,,,,,,,
rolls/buns,bottled water,soda,,,,,,
tropical fruit,pip fruit,root vegetables,other vegetables,dessert,whipped/sour cream,sliced cheese,pastry,shopping bags
tropical fruit,root vegetables,other vegetables,packaged fruit/vegetables,flower (seeds),,,,
UHT-milk,pastry,coffee,red/blush wine,pot plants,,,,
root vegetables,other vegetables,domestic eggs,sugar,instant coffee,bottled water,soda,bottled beer,red/blush wine
pip fruit,dessert,rolls/buns,pastry,specialty bar,,,,
whole milk,brown bread,newspapers,,,,,,
dessert,zwieback,,,,,,,
other vegetables,frozen meals,pasta,canned fish,coffee,,,,
pork,hamburger meat,yogurt,cream cheese ,spread cheese,frozen vegetables,pasta,instant coffee,soda
frankfurter,domestic eggs,,,,,,,
whole milk,yogurt,sliced cheese,mayonnaise,rolls/buns,pasta,specialty chocolate,,
frankfurter,pork,citrus fruit,pip fruit,other vegetables,whipped/sour cream,UHT-milk,salad dressing,frozen potato products
whipped/sour cream,soda,,,,,,,
curd,,,,,,,,
other vegetables,whole milk,frozen potato products,rolls/buns,pasta,instant coffee,soda,fruit/vegetable juice,bottled beer
ham,bottled water,soda,,,,,,
whole milk,curd,rolls/buns,pastry,pasta,margarine,,,
whole milk,butter,whipped/sour cream,condensed milk,soft cheese,hard cheese,processed cheese,frozen vegetables,detergent
soda,,,,,,,,
margarine,,,,,,,,
pip fruit,,,,,,,,
other vegetables,packaged fruit/vegetables,frozen dessert,rolls/buns,soda,,,,
whole milk,margarine,pot plants,,,,,,
pork,tropical fruit,whole milk,rolls/buns,margarine,,,,
sausage,meat,turkey,citrus fruit,tropical fruit,pip fruit,root vegetables,onions,herbs
curd,yogurt,frozen vegetables,,,,,,
canned beer,,,,,,,,
napkins,,,,,,,,
chewing gum,,,,,,,,
ice cream,,,,,,,,
bottled water,,,,,,,,
liver loaf,pork,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,curd,dessert
citrus fruit,tropical fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,bottled water,bottled beer
chicken,citrus fruit,yogurt,whipped/sour cream,spread cheese,margarine,softener,,
citrus fruit,whole milk,sliced cheese,rolls/buns,pastry,roll products ,coffee,bottled water,soda
bottled water,liquor (appetizer),specialty bar,,,,,,
pip fruit,berries,root vegetables,other vegetables,whole milk,whipped/sour cream,,,
whole milk,curd,yogurt,frozen vegetables,margarine,ketchup,cereals,canned fish,soda
hamburger meat,whole milk,curd,dessert,,,,,
turkey,hamburger meat,root vegetables,other vegetables,whole milk,yogurt,hard cheese,cereals,long life bakery product
ham,beef,tropical fruit,pip fruit,other vegetables,whole milk,dessert,yogurt,whipped/sour cream
citrus fruit,pip fruit,other vegetables,canned vegetables,,,,,
sausage,other vegetables,dessert,domestic eggs,pastry,napkins,,,
yogurt,,,,,,,,
butter,,,,,,,,
chicken,hamburger meat,whole milk,rolls/buns,flour,margarine,coffee,canned beer,hygiene articles
beverages,rolls/buns,long life bakery product,shopping bags,,,,,
onions,bottled water,soda,canned beer,chewing gum,male cosmetics,napkins,cling film/bags,
bottled beer,,,,,,,,
butter,pastry,semi-finished bread,white wine,detergent,,,,
root vegetables,butter,pot plants,,,,,,
sausage,ham,meat,pork,tropical fruit,pip fruit,grapes,other vegetables,whole milk
ham,whole milk,spread cheese,rolls/buns,waffles,newspapers,,,
soda,canned beer,,,,,,,
chicken,tropical fruit,whole milk,pastry,soda,long life bakery product,waffles,chocolate,
sausage,pip fruit,whole milk,rolls/buns,flour,oil,soda,,
other vegetables,soda,,,,,,,
whole milk,bottled beer,,,,,,,
root vegetables,,,,,,,,
chicken,other vegetables,whole milk,,,,,,
tropical fruit,pip fruit,whole milk,curd,yogurt,frozen vegetables,frozen meals,white bread,instant coffee
pork,root vegetables,brown bread,soda,bottled beer,,,,
tropical fruit,pip fruit,root vegetables,whole milk,yogurt,beverages,domestic eggs,white bread,sweet spreads
chicken,napkins,,,,,,,
other vegetables,curd,pastry,Instant food products,salty snack,cake bar,chewing gum,napkins,
whipped/sour cream,female sanitary products,,,,,,,
whole milk,whipped/sour cream,,,,,,,
root vegetables,other vegetables,whole milk,bottled water,bottled beer,,,,
sausage,berries,whole milk,yogurt,domestic eggs,,,,
frozen vegetables,,,,,,,,
beef,whole milk,butter,rolls/buns,cat food,bottled beer,,,
root vegetables,whole milk,yogurt,,,,,,
rolls/buns,brown bread,bottled water,,,,,,
canned beer,specialty chocolate,,,,,,,
sweet spreads,coffee,chocolate,seasonal products,,,,,
beef,pot plants,,,,,,,
frozen vegetables,frozen meals,,,,,,,
bottled water,specialty chocolate,,,,,,,
domestic eggs,,,,,,,,
ice cream,sugar,napkins,dishes,,,,,
ice cream,roll products ,Instant food products,coffee,candles,,,,
butter,whipped/sour cream,brown bread,pastry,canned vegetables,fruit/vegetable juice,long life bakery product,,
sausage,,,,,,,,
ham,tropical fruit,specialty cheese,long life bakery product,hygiene articles,newspapers,,,
citrus fruit,pip fruit,other vegetables,whole milk,butter,cream cheese ,domestic eggs,vinegar,fruit/vegetable juice
red/blush wine,,,,,,,,
butter,margarine,,,,,,,
whole milk,bottled water,fruit/vegetable juice,,,,,,
hard cheese,newspapers,,,,,,,
hygiene articles,,,,,,,,
soups,soda,shopping bags,,,,,,
pastry,soda,,,,,,,
onions,rolls/buns,,,,,,,
ice cream,soda,fruit/vegetable juice,,,,,,
herbs,,,,,,,,
citrus fruit,pip fruit,curd,artif. sweetener,dog food,coffee,,,
white bread,soda,bottled beer,,,,,,
pip fruit,root vegetables,sugar,coffee,bottled beer,,,,
misc. beverages,cake bar,,,,,,,
ice cream,soda,bottled beer,salty snack,,,,,
pot plants,,,,,,,,
beef,tropical fruit,frozen vegetables,pickled vegetables,bottled water,soda,,,
canned beer,,,,,,,,
cat food,chocolate,specialty chocolate,,,,,,
whipped/sour cream,,,,,,,,
shopping bags,,,,,,,,
berries,other vegetables,yogurt,,,,,,
whole milk,pot plants,,,,,,,
root vegetables,domestic eggs,,,,,,,
pork,pip fruit,other vegetables,whole milk,yogurt,ketchup,pickled vegetables,soda,detergent
sausage,pork,fish,citrus fruit,berries,whipped/sour cream,soda,fruit/vegetable juice,bathroom cleaner
bottled water,,,,,,,,
ice cream,bottled water,,,,,,,
berries,root vegetables,whole milk,dessert,yogurt,whipped/sour cream,cream cheese ,semi-finished bread,canned fruit
bottled beer,shopping bags,,,,,,,
pork,berries,whole milk,dessert,whipped/sour cream,fruit/vegetable juice,candy,,
ice cream,soda,specialty chocolate,,,,,,
curd,yogurt,waffles,,,,,,
sausage,dessert,soda,,,,,,
rolls/buns,vinegar,bottled beer,,,,,,
other vegetables,domestic eggs,soda,,,,,,
other vegetables,pastry,,,,,,,
root vegetables,canned vegetables,soda,shopping bags,,,,,
other vegetables,whole milk,butter,yogurt,cream cheese ,vinegar,pet care,fruit/vegetable juice,cling film/bags
pastry,salty snack,,,,,,,
other vegetables,brown bread,soda,,,,,,
other vegetables,frozen vegetables,pastry,specialty bar,,,,,
citrus fruit,tropical fruit,whole milk,domestic eggs,pastry,bottled water,salty snack,,
white bread,,,,,,,,
citrus fruit,berries,onions,other vegetables,condensed milk,soft cheese,oil,pickled vegetables,specialty vegetables
whole milk,,,,,,,,
chocolate,pot plants,,,,,,,
citrus fruit,other vegetables,frozen meals,rice,canned beer,salty snack,,,
other vegetables,yogurt,fruit/vegetable juice,shopping bags,,,,,
sausage,chicken,beef,pip fruit,root vegetables,onions,yogurt,soft cheese,mayonnaise
root vegetables,frozen meals,white bread,snack products,hygiene articles,,,,
sausage,chicken,pip fruit,berries,other vegetables,dessert,yogurt,frozen vegetables,frozen meals
pip fruit,vinegar,bottled water,shopping bags,,,,,
tropical fruit,berries,yogurt,domestic eggs,brown bread,soda,candy,,
pork,other vegetables,whipped/sour cream,,,,,,
whole milk,yogurt,cream cheese ,oil,pickled vegetables,cat food,misc. beverages,long life bakery product,chocolate
mustard,soda,fruit/vegetable juice,,,,,,
citrus fruit,white bread,ketchup,fruit/vegetable juice,bottled beer,salty snack,popcorn,shopping bags,
whole milk,margarine,bottled water,,,,,,
root vegetables,curd,dessert,whipped/sour cream,pastry,sauces,coffee,soda,fruit/vegetable juice
citrus fruit,tropical fruit,other vegetables,,,,,,
UHT-milk,,,,,,,,
soda,,,,,,,,
tropical fruit,bottled beer,,,,,,,
shopping bags,,,,,,,,
bottled beer,,,,,,,,
beef,grapes,fruit/vegetable juice,,,,,,
pip fruit,sugar,,,,,,,
root vegetables,onions,other vegetables,yogurt,frozen meals,vinegar,canned vegetables,soda,salty snack
chicken,beef,citrus fruit,whole milk,cream cheese ,domestic eggs,rolls/buns,canned beer,napkins
bottled water,,,,,,,,
flour,,,,,,,,
pip fruit,domestic eggs,,,,,,,
whole milk,pastry,fruit/vegetable juice,canned beer,specialty chocolate,,,,
frankfurter,whole milk,bottled water,specialty chocolate,candy,,,,
canned beer,,,,,,,,
whole milk,cream cheese ,oil,bottled water,fruit/vegetable juice,pot plants,,,
canned beer,,,,,,,,
butter milk,specialty chocolate,,,,,,,
margarine,,,,,,,,
whole milk,,,,,,,,
whole milk,ice cream,pastry,coffee,shopping bags,,,,
canned beer,liquor,,,,,,,
salty snack,,,,,,,,
root vegetables,onions,whipped/sour cream,UHT-milk,frozen dessert,margarine,syrup,,
sausage,citrus fruit,other vegetables,dessert,yogurt,whipped/sour cream,hard cheese,curd cheese,white bread
brown bread,,,,,,,,
other vegetables,dessert,waffles,light bulbs,,,,,
sausage,ham,chicken,other vegetables,whole milk,butter,whipped/sour cream,cream cheese ,
ham,other vegetables,whole milk,frozen vegetables,,,,,
domestic eggs,cat food,bottled water,,,,,,
sausage,pip fruit,onions,spices,cat food,bottled beer,newspapers,,
root vegetables,yogurt,fruit/vegetable juice,,,,,,
other vegetables,yogurt,,,,,,,
citrus fruit,whole milk,specialty bar,dish cleaner,cling film/bags,,,,
pork,frozen potato products,soda,,,,,,
onions,dessert,yogurt,domestic eggs,rolls/buns,brown bread,pastry,cat food,bottled water
other vegetables,whole milk,yogurt,spices,,,,,
chicken,pork,beef,berries,sliced cheese,jam,shopping bags,,
pip fruit,margarine,,,,,,,
berries,chewing gum,seasonal products,newspapers,,,,,
whole milk,specialty bar,,,,,,,
chicken,canned beer,shopping bags,,,,,,
pork,onions,pastry,potato products,bottled water,,,,
whole milk,specialty fat,soda,,,,,,
pork,tropical fruit,berries,whole milk,yogurt,white bread,oil,,
cat food,chocolate,,,,,,,
finished products,citrus fruit,yogurt,pastry,soda,waffles,shopping bags,,
brown bread,margarine,long life bakery product,flower (seeds),,,,,
berries,dessert,whipped/sour cream,bottled water,soda,fruit/vegetable juice,white wine,,
ham,whole milk,domestic eggs,pastry,oil,baking powder,chewing gum,chocolate marshmallow,
fish,brown bread,pet care,napkins,,,,,
pastry,canned beer,shopping bags,,,,,,
sausage,pastry,,,,,,,
